SDK_Name,Category,Path_Status,Full_Path
annotated_doc,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\annotated_doc
annotated_doc-0.0.4.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\annotated_doc-0.0.4.dist-info
Assets,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\Assets
bin,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\bin
cachetools,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\cachetools
cachetools-5.5.2.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\cachetools-5.5.2.dist-info
certifi,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\certifi
certifi-2026.5.20.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\certifi-2026.5.20.dist-info
cffi,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\cffi
cffi-2.0.0.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\cffi-2.0.0.dist-info
charset_normalizer,系統層_底層積木 (Base_Core),OK,C:\Genesis\Library\LibOption\charset_normalizer
charset_normalizer-3.4.7.dist-info,系統層_底層積木 (Base_Core),OK,C:\Genesis\Library\LibOption\charset_normalizer-3.4.7.dist-info
click,產品層_互動積木 (App_UI),OK,C:\Genesis\Library\LibOption\click
click-8.1.7.dist-info,產品層_互動積木 (App_UI),OK,C:\Genesis\Library\LibOption\click-8.1.7.dist-info
click-8.1.8.dist-info,產品層_互動積木 (App_UI),OK,C:\Genesis\Library\LibOption\click-8.1.8.dist-info
colorama,產品層_互動積木 (App_UI),OK,C:\Genesis\Library\LibOption\colorama
colorama-0.4.6.dist-info,產品層_互動積木 (App_UI),OK,C:\Genesis\Library\LibOption\colorama-0.4.6.dist-info
cryptography,系統層_底層積木 (Base_Core),OK,C:\Genesis\Library\LibOption\cryptography
cryptography-48.0.0.dist-info,系統層_底層積木 (Base_Core),OK,C:\Genesis\Library\LibOption\cryptography-48.0.0.dist-info
google,系統層_雲端積木 (Base_Cloud),OK,C:\Genesis\Library\LibOption\google
googleapis_common_protos-1.73.0.dist-info,系統層_雲端積木 (Base_Cloud),OK,C:\Genesis\Library\LibOption\googleapis_common_protos-1.73.0.dist-info
googleapis_common_protos-1.75.0.dist-info,系統層_雲端積木 (Base_Cloud),OK,C:\Genesis\Library\LibOption\googleapis_common_protos-1.75.0.dist-info
